CustomerID,Age,Gender,Income,Recency,Frequency,AvgBasketSize,Monetary,PreferredCategory,OnlineVisits,DiscountResponse,TenureMonths
100050,31,Male,60359.0,258,14,77.04,875.55,Electronics,35,Medium,41
100051,67,Female,51662.0,338,14,264.38,3566.41,Groceries,43,Medium,22
100052,26,Female,86721.0,90,4,40.87,186.02,Fashion,50,Low,53
100053,43,Female,22502.0,245,6,73.11,475.44,Groceries,37,Low,23
100054,19,Female,78775.0,298,11,135.15,1454.99,Beauty,28,Low,35
100055,37,Female,88342.0,31,11,121.15,1206.86,Beauty,35,High,89
100056,45,Female,23258.0,317,8,217.71,1404.19,Fashion,33,Medium,117
100057,64,Male,25656.0,358,8,45.71,318.2,Sports,35,High,111
100058,24,Female,95718.0,312,7,153.6,1026.68,Electronics,32,Medium,43
100059,61,Female,41913.0,228,8,246.4,1869.06,Home,28,High,62
100060,25,Male,121897.0,339,10,211.34,1909.97,Groceries,36,Medium,45
100061,64,Male,23883.0,128,9,196.86,2124.05,Electronics,41,Low,94
100062,52,Female,63401.0,270,16,87.02,1363.01,Home,27,Medium,57
100063,31,Male,59532.0,270,8,130.22,945.01,Sports,38,Medium,94
100064,34,Female,55836.0,209,10,70.6,679.76,Beauty,36,Low,67
100065,53,Female,69259.0,178,12,162.5,1777.94,Fashion,41,Low,55
100066,67,Male,70413.0,306,8,183.57,1381.68,Sports,30,Medium,31
100067,57,Female,56647.0,191,10,196.73,1672.89,Electronics,37,Medium,100
100068,21,Female,39717.0,357,13,265.27,2759.98,Electronics,40,Medium,54
100069,19,Male,80955.0,68,10,37.31,371.85,Groceries,32,Medium,36
100070,23,Male,72561.0,327,5,128.73,640.85,Beauty,41,Medium,35
100071,59,Male,62292.0,267,18,185.47,2880.37,Home,36,Low,14
100072,21,Male,71927.0,270,10,179.63,2035.34,Home,34,Low,22
100073,46,Female,75379.0,362,14,26.08,320.11,Groceries,38,Medium,15
100074,35,Male,44765.0,360,13,73.01,1051.71,Beauty,40,Medium,87
100075,43,Male,71214.0,128,9,256.81,2024.94,Sports,34,Medium,72
100076,61,Male,48939.0,264,15,164.31,2249.01,Home,35,Medium,50
100077,51,Male,76041.0,221,12,135.8,1479.6,Beauty,33,High,24
100078,27,Male,56152.0,242,13,272.05,3154.11,Sports,33,Medium,113
100079,53,Female,72234.0,244,11,40.99,532.51,Fashion,36,Low,42
100080,31,Male,51324.0,19,14,278.25,3526.93,Electronics,41,Medium,40
100081,48,Female,73274.0,155,10,27.78,276.13,Fashion,37,Medium,49
100082,65,Male,40425.0,229,15,177.55,2913.78,Groceries,54,Low,97
100083,32,Male,60723.0,58,14,175.43,2278.34,Home,34,High,71
100084,25,Male,79613.0,281,8,198.94,1280.66,Fashion,37,High,102
100085,31,Male,69344.0,45,8,28.3,250.1,Electronics,47,Medium,100
100086,40,Male,63841.0,102,10,168.55,1539.89,Home,40,Medium,114
100087,57,Male,96071.0,48,13,51.81,774.07,Sports,30,High,9
100088,38,Male,80473.0,50,10,63.67,634.45,Home,43,Medium,98
100089,33,Male,77111.0,81,12,80.3,1011.55,Beauty,26,Medium,43
100090,62,Female,73161.0,300,11,191.69,2488.95,Electronics,27,Low,62
100091,35,Male,75654.0,59,7,129.22,1038.4,Home,36,Low,20
100092,64,Female,93142.0,161,7,43.89,343.19,Fashion,30,High,19
100093,41,Male,51647.0,103,15,100.92,1532.41,Groceries,37,Low,96
100094,43,Female,80188.0,334,10,41.45,359.67,Fashion,24,Medium,114
100095,42,Male,67130.0,274,11,205.96,2574.62,Beauty,38,Low,119
100096,62,Male,52338.0,183,9,176.09,1327.4,Home,29,Medium,21
100097,58,Male,58005.0,116,13,134.15,2014.23,Beauty,29,Medium,90
100098,46,Female,64383.0,362,11,279.75,3404.99,Sports,31,Low,9
100099,32,Female,42801.0,267,11,165.24,2038.27,Home,33,High,100
100100,62,Female,77280.0,164,13,268.51,3319.17,Beauty,39,High,61
100101,18,Female,57943.0,143,14,182.14,2126.63,Electronics,30,Low,34
100102,42,Male,61699.0,318,11,125.5,1505.82,Fashion,36,High,108
100103,24,Male,87144.0,304,11,170.92,2239.65,Fashion,32,High,70
100104,26,Male,62595.0,94,6,62.52,428.9,Home,42,Medium,33
100105,41,Female,91053.0,250,9,208.93,2137.14,Groceries,41,Medium,79
100106,18,Male,49504.0,343,8,295.0,2484.9,Home,32,Low,82
100107,61,Female,38059.0,306,8,89.28,604.61,Groceries,48,Medium,87
100108,25,Female,54200.0,316,11,110.5,1392.13,Home,31,Medium,59
100109,41,Female,15000.0,240,12,133.71,1426.12,Fashion,29,Medium,71
100110,28,Female,78115.0,59,13,155.38,1829.66,Beauty,34,Medium,14
100111,68,Female,39222.0,15,5,221.35,1220.02,Groceries,36,Low,78
100112,34,Male,47646.0,285,9,58.27,569.93,Electronics,46,Medium,53
100113,25,Female,74326.0,203,11,104.69,954.7,Beauty,39,Medium,54
100114,52,Female,62382.0,237,16,170.83,2462.09,Groceries,42,High,84
100115,52,Male,51189.0,296,10,185.08,2085.99,Sports,37,Medium,98
100116,50,Female,19269.0,287,17,170.26,3414.93,Beauty,41,Medium,94
100117,22,Female,86016.0,73,9,141.94,1158.05,Electronics,38,Medium,44
100118,59,Male,74462.0,214,9,219.21,2178.58,Home,43,High,29
100119,56,Male,101114.0,11,14,77.25,1083.94,Sports,36,Medium,7
100120,58,Male,48072.0,337,15,99.16,1416.04,Electronics,39,High,94
100121,45,Female,30911.0,225,4,144.46,669.86,Home,43,High,107
100122,24,Male,79895.0,318,18,214.74,3939.85,Groceries,31,Low,94
100123,26,Male,56239.0,203,8,43.06,370.9,Home,25,High,46
100124,25,Male,72563.0,231,13,52.39,706.25,Fashion,40,Medium,110
100125,29,Female,92398.0,51,13,239.07,3286.4,Electronics,44,Medium,90
100126,51,Male,67763.0,57,6,93.07,562.28,Groceries,36,High,69
100127,50,Female,63346.0,132,9,289.78,2642.91,Home,43,Medium,89
100128,65,Female,64600.0,280,11,289.19,3629.2,Groceries,31,Low,119
100129,40,Male,27255.0,297,9,212.06,1757.89,Groceries,33,Medium,94
100130,41,Female,82161.0,305,8,220.72,1932.71,Beauty,27,Low,34
100131,54,Female,83442.0,225,12,202.28,2202.66,Electronics,32,High,46
100132,52,Male,70611.0,174,10,69.65,576.91,Groceries,43,Low,113
100133,61,Female,29692.0,292,9,160.13,1673.62,Electronics,40,Medium,19
100134,57,Male,57577.0,266,8,242.04,1867.12,Groceries,37,High,107
100135,39,Female,88771.0,247,18,236.91,4576.85,Groceries,28,High,30
100136,44,Female,48685.0,78,9,271.66,2697.15,Home,34,Low,8
100137,52,Male,83685.0,135,17,272.22,5177.53,Sports,36,Low,86
100138,18,Male,61102.0,140,8,93.22,664.12,Electronics,40,Medium,94
100139,52,Female,74250.0,342,16,222.08,3774.54,Fashion,42,High,18
100140,54,Female,51757.0,253,11,202.38,2457.92,Beauty,36,Medium,87
100141,64,Male,61688.0,176,7,268.03,1590.87,Electronics,33,Low,60
100142,31,Female,68734.0,60,13,71.37,794.69,Groceries,31,Low,88
100143,20,Female,38335.0,352,11,227.14,2362.52,Beauty,42,Medium,44
100144,18,Female,65478.0,254,11,138.53,1402.94,Sports,43,Low,108
100145,22,Female,15000.0,8,16,130.46,2335.53,Beauty,39,Medium,52
100146,43,Male,47970.0,107,6,30.02,190.4,Electronics,33,Medium,110
100147,31,Male,70878.0,171,7,289.21,2022.83,Groceries,29,Low,80
100148,56,Male,82405.0,58,15,209.22,2644.21,Beauty,30,Medium,8
100149,44,Male,69455.0,337,12,185.4,1880.02,Fashion,38,Medium,13
100150,26,Male,32194.0,342,11,90.33,1000.39,Beauty,33,Low,42
100151,32,Male,80657.0,290,14,204.36,3299.21,Beauty,31,Medium,78
100152,32,Female,37217.0,84,15,284.77,4741.55,Home,34,Medium,20
100153,43,Male,72284.0,117,13,65.72,984.76,Home,37,High,96
100154,59,Female,37883.0,200,13,295.47,3941.2,Electronics,32,Medium,35
100155,30,Female,44536.0,22,12,139.68,1489.35,Electronics,33,High,72
100156,68,Female,40873.0,219,10,293.9,2388.59,Fashion,29,Medium,66
100157,49,Male,62779.0,226,12,197.48,2787.1,Home,33,Medium,100
100158,56,Female,56089.0,271,9,110.75,986.87,Groceries,34,Low,87
100159,66,Male,70178.0,102,13,124.84,1855.98,Electronics,34,High,49
100160,69,Female,59627.0,145,17,101.36,1883.7,Sports,41,Medium,66
100161,49,Female,29643.0,147,10,113.74,1288.52,Home,26,Medium,92
100162,21,Male,65516.0,261,8,201.03,1422.1,Groceries,36,High,69
100163,47,Female,24757.0,279,6,24.65,158.52,Home,39,High,89
100164,54,Female,42323.0,339,13,290.94,4119.13,Beauty,37,Medium,1
100165,40,Female,52722.0,14,22,235.19,5283.08,Fashion,37,High,51
100166,56,Female,51336.0,266,7,283.48,2250.45,Sports,46,Medium,86
100167,62,Male,27052.0,287,12,220.91,3168.6,Groceries,39,Low,71
100168,32,Female,87423.0,141,7,154.69,870.83,Groceries,41,Medium,54
100169,60,Female,92960.0,293,9,73.12,646.23,Electronics,35,Medium,108
100170,46,Male,105016.0,31,14,164.57,2537.97,Fashion,26,Medium,87
100171,53,Female,82953.0,171,13,219.27,3107.8,Fashion,34,Medium,88
100172,30,Female,52091.0,355,20,259.17,5116.73,Groceries,47,Medium,26
100173,49,Female,51746.0,205,7,110.76,881.43,Home,45,Medium,78
100174,24,Female,50642.0,291,7,162.93,1220.37,Groceries,47,High,95
100175,68,Male,99713.0,111,9,193.59,1776.01,Groceries,30,Low,91
100176,39,Female,57689.0,68,18,184.81,3024.38,Groceries,28,Medium,22
100177,45,Male,85385.0,183,8,34.66,262.57,Groceries,40,Medium,49
100178,19,Female,83829.0,196,13,155.35,2414.62,Groceries,37,Low,109
100179,59,Female,63791.0,126,16,246.53,4585.26,Groceries,43,Low,46
100180,62,Female,30967.0,175,13,244.65,3429.35,Home,33,Medium,100
100181,23,Male,58122.0,262,4,162.0,741.03,Sports,37,Medium,17
100182,45,Female,62939.0,286,11,286.66,2694.12,Beauty,25,Low,108
100183,45,Female,85558.0,155,10,251.34,2279.73,Sports,42,Low,94
100184,61,Male,60389.0,69,9,226.45,2352.04,Electronics,35,Medium,60
100185,61,Male,35828.0,108,12,164.37,1949.45,Sports,28,High,85
100186,37,Male,79758.0,35,9,185.39,1729.2,Home,42,Medium,8
100187,47,Male,55449.0,359,10,82.51,951.72,Groceries,31,Low,61
100188,28,Female,15000.0,44,13,169.07,2113.52,Fashion,27,High,61
100189,45,Female,66500.0,143,9,167.29,1494.66,Home,38,Medium,2
100190,42,Female,70015.0,211,10,76.77,648.61,Fashion,39,Medium,48
100191,56,Female,43141.0,285,12,286.32,4111.21,Electronics,30,High,117
100192,50,Male,56159.0,6,13,88.53,1368.81,Beauty,35,Medium,46
100193,18,Female,73154.0,218,13,49.18,587.31,Home,37,Medium,61
100194,44,Female,66636.0,27,13,150.76,2236.2,Groceries,29,Low,6
100195,69,Female,28747.0,227,10,212.1,2322.13,Groceries,34,Medium,13
100196,30,Female,85071.0,284,10,74.64,640.89,Beauty,38,Medium,29
100197,58,Male,94127.0,56,15,71.21,864.73,Beauty,31,Low,63
100198,20,Female,49796.0,310,12,93.21,901.11,Home,32,Low,99
100199,56,Female,21803.0,336,13,104.76,1125.31,Home,31,Medium,94
100200,23,Female,75422.0,105,8,88.94,747.78,Groceries,36,High,46
100201,25,Male,46538.0,18,7,151.8,1059.27,Fashion,40,High,34
100202,44,Male,70709.0,205,5,25.11,150.5,Home,29,Low,84
100203,26,Female,104043.0,43,8,44.5,325.6,Beauty,33,High,106
100204,54,Female,29074.0,89,12,224.22,2933.55,Groceries,38,Medium,15
100205,50,Female,44068.0,74,8,135.46,1034.74,Sports,30,Medium,74
100206,68,Male,56110.0,157,8,120.89,811.73,Home,39,Low,109
100207,59,Female,85834.0,266,6,22.92,158.27,Electronics,26,Medium,24
100208,61,Female,131112.0,134,11,103.5,1092.96,Beauty,39,Medium,82
100209,41,Female,64942.0,89,8,249.93,2332.88,Electronics,39,Low,3
100210,32,Male,27356.0,236,7,115.3,948.16,Beauty,40,Medium,28
100211,49,Female,53090.0,132,15,289.83,4904.17,Home,32,Medium,50
100212,49,Female,44503.0,229,7,129.19,733.48,Groceries,44,Medium,76
100213,41,Male,74432.0,34,9,149.96,1601.23,Fashion,29,High,97
100214,58,Male,67538.0,83,12,244.53,2493.23,Home,36,Medium,16
100215,69,Female,39164.0,132,13,295.25,4500.44,Electronics,37,Medium,49
100216,66,Male,43330.0,354,10,124.05,1293.37,Fashion,32,Medium,42
100217,66,Female,52799.0,204,14,53.58,713.35,Sports,23,Medium,3
100218,69,Male,55213.0,287,17,166.46,3080.33,Fashion,30,High,33
100219,29,Male,59156.0,336,15,185.69,2792.99,Sports,30,Low,88
100220,56,Female,60977.0,316,7,288.65,2258.56,Beauty,29,Low,1
100221,19,Female,84697.0,258,5,135.9,683.24,Electronics,25,Medium,51
100222,20,Female,52076.0,292,7,45.43,301.33,Sports,33,Low,106
100223,66,Male,49129.0,125,17,202.26,3247.03,Fashion,33,Medium,78
100224,54,Female,33225.0,151,11,25.91,268.38,Electronics,40,Medium,9
100225,66,Female,55523.0,359,10,139.12,1376.12,Fashion,37,High,99
100226,34,Female,65124.0,247,8,134.7,909.55,Home,38,Medium,16
100227,66,Female,25518.0,175,11,91.35,1069.85,Fashion,37,Medium,73
100228,19,Female,53151.0,357,13,290.01,3530.91,Home,45,Low,76
100229,19,Male,83206.0,302,9,132.95,1226.01,Home,32,Low,31
100230,45,Female,72966.0,80,7,270.52,1913.73,Sports,43,Medium,49
100231,40,Female,67469.0,107,5,164.23,938.45,Home,42,High,6
100232,54,Male,72424.0,300,6,249.75,1715.3,Sports,30,Medium,103
100233,49,Female,48526.0,305,7,146.39,1225.24,Home,39,Low,116
100234,50,Female,45862.0,344,14,297.63,3736.1,Beauty,31,Medium,30
100235,18,Female,85438.0,58,13,199.21,2107.48,Electronics,42,Low,109
100236,36,Female,76573.0,91,9,63.67,555.82,Sports,40,Medium,107
100237,19,Female,45075.0,135,10,21.8,252.59,Fashion,31,Low,45
100238,61,Male,22426.0,350,14,280.09,4078.5,Sports,35,High,100
100239,43,Male,45490.0,169,9,212.3,1814.04,Beauty,27,Medium,89
100240,49,Male,70871.0,334,10,49.76,551.76,Electronics,41,Medium,29
100241,23,Female,46835.0,122,13,228.18,3218.3,Home,42,High,52
100242,49,Male,66601.0,236,13,83.6,1179.64,Electronics,35,High,29
100243,21,Female,88395.0,76,10,246.58,2480.18,Groceries,29,Low,119
100244,28,Female,58139.0,309,7,190.78,1351.74,Electronics,23,Medium,86
100245,34,Female,64679.0,23,10,54.62,558.4,Electronics,35,Medium,68
100246,55,Male,73698.0,333,8,39.87,325.67,Electronics,43,Medium,104
100247,41,Male,38358.0,73,14,150.51,1859.61,Fashion,30,Low,73
100248,22,Male,44539.0,88,6,282.33,1521.73,Fashion,39,Low,85
100249,69,Female,74523.0,103,18,178.1,3044.26,Electronics,38,High,111
100250,51,Male,60739.0,94,14,232.55,3718.62,Groceries,37,Medium,104
100251,23,Female,62435.0,316,20,151.45,2983.43,Groceries,36,Medium,11
100252,39,Male,60666.0,266,14,127.54,2090.05,Sports,27,Medium,77
100253,28,Male,79566.0,253,10,250.22,2795.84,Electronics,27,Medium,20
100254,65,Female,68714.0,358,7,149.75,1199.83,Sports,31,Medium,74
100255,33,Female,68976.0,58,9,59.63,458.13,Home,30,Medium,57
100256,50,Male,84444.0,9,8,96.87,666.09,Groceries,24,Low,87
100257,26,Male,92131.0,13,13,177.19,2060.8,Home,37,Medium,96
100258,23,Male,104872.0,131,13,132.72,1837.59,Home,30,High,88
100259,33,Female,48420.0,222,13,122.59,1578.55,Electronics,31,Low,44
100260,46,Female,109388.0,329,12,207.25,2158.53,Groceries,35,Medium,11
100261,20,Male,38065.0,153,10,198.17,2176.53,Sports,37,Low,113
100262,37,Male,98705.0,71,17,107.93,1847.64,Home,33,Medium,102
100263,53,Female,47321.0,345,12,120.64,1581.44,Electronics,40,Low,33
100264,36,Male,58621.0,20,11,230.58,2951.81,Fashion,32,High,91
100265,43,Female,60372.0,81,18,277.96,5833.32,Groceries,30,Medium,59
100266,20,Female,42661.0,228,7,110.78,713.77,Fashion,30,Low,87
100267,36,Female,61734.0,346,11,101.73,966.19,Beauty,34,High,68
100268,37,Female,43693.0,19,12,94.28,1101.41,Sports,45,Medium,109
100269,49,Female,35301.0,165,12,59.62,596.36,Sports,29,High,119
100270,24,Female,59226.0,107,12,125.61,1232.37,Sports,47,Low,49
100271,69,Male,91798.0,348,9,164.48,1763.43,Groceries,49,High,15
100272,58,Female,54920.0,214,10,170.48,2026.55,Home,37,Low,106
100273,50,Female,78820.0,239,13,213.49,2610.82,Electronics,30,Medium,3
100274,57,Male,43087.0,147,16,34.71,626.56,Beauty,41,Low,67
100275,56,Female,34330.0,181,12,177.19,1891.05,Home,39,Medium,89
100276,35,Male,69077.0,336,8,91.4,707.01,Groceries,35,Low,86
100277,57,Female,95112.0,198,13,86.95,1232.74,Beauty,33,Medium,11
100278,18,Male,64179.0,287,8,241.12,1967.96,Fashion,29,Medium,75
100279,28,Male,76533.0,53,15,62.97,1065.87,Electronics,42,Low,55
100280,45,Female,89902.0,240,10,112.15,1336.85,Sports,33,Medium,8
100281,42,Female,59269.0,290,12,198.54,1914.58,Fashion,34,Low,37
100282,67,Female,56959.0,287,10,200.0,2339.62,Beauty,39,Low,28
100283,40,Female,69442.0,188,7,33.46,226.11,Home,27,Low,20
100284,48,Male,73000.0,6,8,40.32,310.68,Electronics,36,High,115
100285,47,Male,32020.0,283,9,203.5,1465.68,Sports,27,Medium,22
100286,59,Male,65915.0,263,5,286.88,1626.24,Electronics,35,Medium,58
100287,52,Female,59986.0,49,10,299.58,3306.15,Home,34,Medium,46
100288,24,Male,44210.0,352,14,296.39,4803.43,Groceries,37,Medium,112
100289,33,Female,58604.0,200,8,118.44,821.45,Home,40,Medium,75
100290,43,Female,36694.0,60,16,87.71,1243.44,Groceries,27,Medium,23
100291,65,Male,29781.0,33,11,47.62,482.65,Sports,32,Medium,98
100292,69,Female,61337.0,303,10,111.23,1125.74,Home,40,Medium,34
100293,66,Male,78042.0,244,9,97.52,823.3,Home,29,Low,106
100294,19,Female,53054.0,172,13,181.5,2170.48,Home,36,Medium,50
100295,18,Male,40785.0,207,15,123.26,1614.23,Home,32,Medium,47
100296,65,Female,43894.0,283,10,84.83,732.66,Groceries,29,Medium,88
100297,29,Male,70979.0,22,12,191.51,2273.24,Groceries,35,Medium,49
100298,22,Male,93348.0,47,10,110.46,1080.7,Fashion,38,Medium,3
100299,54,Female,75409.0,349,9,119.02,1193.35,Sports,41,Medium,30
100300,49,Female,86016.0,158,8,187.56,1694.84,Sports,40,Medium,23
100301,26,Male,39048.0,258,9,53.1,516.25,Groceries,29,High,65
100302,58,Female,58521.0,143,10,236.79,2681.6,Fashion,27,Medium,18
100303,52,Female,80374.0,47,9,290.32,2204.07,Fashion,32,Low,101
100304,36,Female,32016.0,27,11,157.43,1702.47,Home,26,Medium,52
100305,65,Male,46833.0,27,12,176.76,1939.94,Fashion,33,Medium,67
100306,33,Male,78840.0,145,13,127.7,1495.28,Sports,32,Medium,88
100307,20,Female,65169.0,75,15,287.88,4685.58,Electronics,33,Medium,25
100308,37,Female,40698.0,187,10,57.22,648.01,Groceries,30,Medium,2
100309,41,Male,27384.0,10,6,247.79,1257.63,Home,34,Medium,58
100310,50,Female,86746.0,121,17,202.12,2919.4,Fashion,30,High,86
100311,41,Male,18932.0,289,9,241.62,2295.84,Groceries,31,Medium,73
100312,69,Female,72648.0,165,11,286.13,2699.61,Groceries,28,Low,119
100313,28,Female,49339.0,264,11,158.92,1935.79,Groceries,35,Low,54
100314,66,Female,80941.0,161,10,100.73,1139.74,Sports,32,Low,16
100315,25,Male,39157.0,327,13,238.26,3125.68,Home,39,Medium,63
100316,53,Male,112296.0,297,13,256.48,3878.92,Electronics,26,Medium,43
100317,55,Male,68046.0,118,12,212.15,2057.36,Home,39,Medium,105
100318,57,Male,71341.0,311,6,257.72,1377.1,Beauty,38,Medium,44
100319,37,Female,44539.0,263,18,224.49,4481.98,Fashion,40,Low,16
100320,52,Female,57332.0,84,6,288.09,2044.72,Beauty,33,High,79
100321,65,Male,57851.0,146,8,179.79,1703.3,Home,37,Low,7
100322,42,Female,95921.0,171,19,126.53,1923.64,Sports,31,High,27
100323,52,Female,68012.0,334,12,210.55,2659.87,Electronics,40,Medium,18
100324,42,Male,70877.0,309,14,39.35,446.74,Home,40,Medium,7
100325,46,Female,70653.0,14,14,159.55,2412.69,Fashion,34,Low,86
100326,35,Female,72572.0,149,6,236.55,1571.47,Home,25,Medium,62
100327,63,Male,32211.0,251,14,67.31,1077.16,Sports,42,Low,61
100328,35,Female,100985.0,57,13,132.11,1737.66,Groceries,37,Medium,62
100329,19,Female,42450.0,347,10,118.08,1346.17,Sports,36,Low,62
100330,52,Female,59232.0,302,12,113.79,1596.98,Sports,36,Low,13
100331,33,Male,90630.0,347,18,202.18,3687.61,Sports,29,Medium,59
100332,58,Male,98693.0,133,11,159.3,1769.2,Electronics,34,Low,83
100333,53,Female,76119.0,170,9,243.25,2194.38,Beauty,34,Medium,26
100334,50,Female,49906.0,102,9,36.2,326.4,Home,30,Low,17
100335,21,Female,62555.0,106,10,147.09,1632.42,Fashion,36,Medium,17
100336,50,Male,63339.0,171,7,23.92,138.46,Groceries,38,Medium,16
100337,31,Male,64048.0,128,11,81.84,883.13,Groceries,47,Low,57
100338,38,Male,35399.0,250,13,237.11,3112.0,Beauty,34,High,13
100339,65,Female,85202.0,32,11,49.69,484.16,Electronics,44,Low,69
100340,37,Female,62692.0,216,10,49.56,503.78,Fashion,38,Low,98
100341,25,Female,45556.0,262,13,132.4,1690.67,Beauty,33,Medium,19
100342,24,Female,50032.0,330,11,237.54,2861.26,Groceries,29,Medium,93
100343,20,Female,65397.0,244,12,198.65,2243.91,Fashion,26,Medium,93
100344,34,Male,31942.0,285,13,238.89,3664.29,Fashion,29,High,91
100345,50,Female,77569.0,290,11,33.87,359.71,Home,34,High,76
100346,65,Female,64695.0,263,9,177.84,1684.36,Electronics,39,Low,118
100347,29,Female,91314.0,337,8,146.92,1044.51,Sports,29,Medium,54
100348,68,Male,61552.0,333,15,270.89,4369.98,Sports,33,Medium,69
100349,39,Female,38295.0,314,11,226.46,2504.86,Beauty,31,Low,61
100350,39,Male,36044.0,85,14,138.82,1820.84,Groceries,29,Low,94
100351,63,Male,52186.0,329,7,175.08,1151.0,Groceries,31,Medium,49
100352,47,Male,54302.0,45,13,138.95,1716.36,Electronics,34,Low,29
100353,55,Male,48655.0,303,12,143.52,1679.15,Home,38,Medium,59
100354,55,Male,62570.0,333,12,197.54,2131.2,Groceries,40,Medium,23
100355,62,Female,48147.0,200,13,80.63,954.86,Beauty,35,High,61
100356,68,Female,65084.0,201,16,113.29,2144.98,Beauty,40,Low,117
100357,25,Male,49587.0,329,10,98.16,903.57,Beauty,50,Medium,112
100358,44,Male,72634.0,168,9,244.22,2309.56,Beauty,39,Medium,1
100359,44,Male,53798.0,240,4,283.74,1064.75,Beauty,39,Medium,107
100360,51,Female,84924.0,286,11,136.0,1682.01,Groceries,33,High,69
100361,38,Female,73046.0,190,8,41.59,358.8,Fashion,35,Low,48
100362,47,Male,63872.0,71,12,46.19,516.2,Electronics,24,Medium,110
100363,50,Female,55846.0,145,11,131.88,1576.38,Sports,35,Medium,4
100364,45,Female,29620.0,359,11,130.6,1584.14,Electronics,32,High,11
100365,64,Male,88271.0,209,19,60.92,990.01,Beauty,30,High,43
100366,50,Male,46384.0,360,9,245.99,2283.11,Sports,39,Low,14
100367,22,Female,61815.0,208,13,160.04,2336.64,Fashion,35,Medium,32
100368,65,Female,66876.0,222,8,50.54,331.6,Home,31,Low,112
